vertices	dk_calls	AVG(`running_time`)	MAX(`running_time`)-MIN(`running_time`)
33	272	0.000027816406250000046	0.000019
65	1056	0.00006533984375000006	0.000019000000000000008
129	4160	0.00017631640625000007	0.000039999999999999996
257	16512	0.0005665390625000001	0.00006500000000000006
513	65792	0.0020231835937500006	0.00020899999999999998
1025	262656	0.007913546875	0.0004849999999999993
2049	1049600	0.031103515625000005	0.0005330000000000022
4097	4196352	0.12269112500000001	0.0015560000000000018
8193	16781312	0.4891241875	0.006402999999999992
16385	67117056	1.9593924999999999	0.009800000000000031
24577	151007232	4.413975	0.0022099999999998232
