vertices	dk_calls	AVG(`running_time`)	MIN(`running_time`)	MAX(`running_time`)
33	272	0.000027816406250000046	0.000024	0.000043
65	1056	0.00006533984375000006	0.000061	0.00008
129	4160	0.00017631640625000007	0.000171	0.000211
257	16512	0.0005665390625000001	0.000557	0.000622
513	65792	0.0020231835937500006	0.002	0.002209
1025	262656	0.007913546875	0.007816	0.008301
2049	1049600	0.031103515625000005	0.030949	0.031482
4097	4196352	0.12269112500000001	0.122108	0.123664
8193	16781312	0.4891241875	0.487419	0.493822
16385	67117056	1.9593924999999999	1.95622	1.96602
24577	151007232	4.413975	4.41287	4.41508
