vertices	dk_calls	AVG(`running_time`)	MAX(`running_time`)-MIN(`running_time`)
33	528	0.00006128125000000002	0.000022000000000000006
65	2080	0.00024912109375000005	0.00007399999999999998
129	8256	0.001106769531249999	0.00007399999999999985
257	32896	0.0060478749999999986	0.0004519999999999993
513	131328	0.027017128906250028	0.0013199999999999983
1025	524800	0.12354474999999998	0.002118999999999996
2049	2098176	0.5450592187500001	0.00614899999999996
4097	8390656	2.4420778125000004	0.016329999999999956
8193	33558528	10.756640625000001	0.037700000000000955
16385	134225920	53.69142500000001	0.2507000000000019
24577	152686177	75.4938	1.2568000000000126
