vertices	dk_calls	AVG(`running_time`)	MIN(`running_time`)	MAX(`running_time`)
33	528	0.00006128125000000002	0.000059	0.000081
65	2080	0.00024912109375000005	0.000244	0.000318
129	8256	0.001106769531249999	0.001095	0.001169
257	32896	0.0060478749999999986	0.005995	0.006447
513	131328	0.027017128906250028	0.026789	0.028109
1025	524800	0.12354474999999998	0.122962	0.125081
2049	2098176	0.5450592187500001	0.543871	0.55002
4097	8390656	2.4420778125000004	2.43779	2.45412
8193	33558528	10.756640625000001	10.7449	10.7826
16385	134225920	53.69142500000001	53.5991	53.8498
24577	152686177	75.4938	74.8654	76.1222
