vertices	dk_calls	AVG(`running_time`)	MAX(`running_time`)-MIN(`running_time`)
33	41	0.00002289062500000001	0.000016999999999999996
65	109	0.00004585156249999993	0.000012
129	262	0.00010407031250000006	0.000034
257	668	0.00026409375000000017	0.000067
513	1478	0.0007382812500000009	0.000227
1025	3187	0.002316851562499999	0.0006560000000000003
2049	6591	0.009643078125000001	0.0012659999999999998
4097	13191	0.036163218750000004	0.002935
8193	26303	0.13875409375000003	0.012915999999999983
16385	53814	0.53250875	0.007333000000000034
24577	82202	1.1798350000000002	0.010869999999999935
