vertices	dk_calls	AVG(`running_time`)	MIN(`running_time`)	MAX(`running_time`)
33	272	0.00003755859374999996	0.000033	0.000053
65	1056	0.00008473046875000005	0.000079	0.000118
129	4160	0.00020661328124999982	0.000199	0.000233
257	16512	0.0006000273437500005	0.000587	0.000669
513	65792	0.0020010078125	0.00197	0.002097
1025	262656	0.007639207031249998	0.007547	0.007883
2049	1049600	0.02906521093750001	0.028706	0.030309
4097	4196352	0.111318125	0.110924	0.112058
8193	16781312	0.43809018749999995	0.436774	0.440405
16385	67117056	1.746595	1.74308	1.75439
24577	151007232	3.93035	3.92543	3.93527
