vertices	dk_calls	AVG(`running_time`)	MIN(`running_time`)	MAX(`running_time`)
33	528	0.00008043359375000005	0.000075	0.000115
65	2080	0.0002923632812499999	0.000281	0.000383
129	8256	0.00103844140625	0.001017	0.001099
257	32896	0.0040041953125	0.003956	0.00419
513	131328	0.01584073828125001	0.01571	0.016103
1025	524800	0.06384080078125001	0.063529	0.064596
2049	2098176	0.2554257265624999	0.254571	0.257686
4097	8390656	1.0196787499999997	1.01744	1.02457
8193	33558528	4.0756571875	4.06829	4.09912
16385	134225920	16.30595	16.289	16.3218
24577	152686177	30.89025	30.6412	31.1393
