vertices	dk_calls	AVG(`running_time`)	MIN(`running_time`)	MAX(`running_time`)
33	44	0.00003888281249999999	0.000036	0.000051
65	107	0.00008284374999999998	0.000079	0.000099
129	261	0.00019721484375000004	0.000189	0.000269
257	673	0.00044912890625000025	0.000435	0.000495
513	1492	0.0011503124999999992	0.001117	0.001312
1025	3203	0.003333195312499999	0.003215	0.003726
2049	6534	0.012349617187500007	0.012081	0.013986
4097	13308	0.044794249999999994	0.044154	0.045932
8193	26359	0.16457846874999998	0.162623	0.175219
16385	53629	0.628532875	0.622906	0.636557
24577	82045	1.39457	1.3905	1.39864
