vertices	dk_calls	AVG(`running_time`)	MIN(`running_time`)	MAX(`running_time`)
33	272	0.0000270234375	0.000024	0.000042
65	1056	0.00007008593750000008	0.000067	0.000088
129	4160	0.0002082382812499998	0.000203	0.000238
257	16512	0.0007449960937499984	0.000736	0.000828
513	65792	0.002850921874999999	0.00283	0.00294
1025	262656	0.012127468749999998	0.012014	0.013215
2049	1049600	0.051017625000000004	0.050724	0.051823
4097	4196352	0.2063904375	0.205627	0.210871
8193	16781312	0.8264882187500001	0.824797	0.831001
16385	67117056	3.31167	3.30481	3.32165
24577	151007232	7.46463	7.45856	7.4707
