vertices	dk_calls	AVG(`running_time`)	MAX(`running_time`)-MIN(`running_time`)
33	528	0.00002455078124999994	0.000012
65	2080	0.00007856250000000007	0.000024
129	8256	0.00026789843750000056	0.000043999999999999985
257	32896	0.0009276835937500023	0.00013999999999999993
513	131328	0.003479261718749999	0.00023700000000000023
1025	524800	0.014680964843749998	0.0006919999999999999
2049	2098176	0.06121608593750002	0.003591999999999998
4097	8390656	0.24735315625	0.0047910000000000175
8193	33558528	0.99223534375	0.008355000000000001
16385	134225920	3.97823375	0.019519999999999982
24577	152686177	18.54705	0.7838999999999992
