vertices	dk_calls	AVG(`running_time`)	MIN(`running_time`)	MAX(`running_time`)
33	40	0.00002182031250000007	0.000019	0.000044
65	111	0.000048269531250000006	0.000045	0.000068
129	264	0.00014775000000000012	0.000143	0.000189
257	655	0.0004951171874999998	0.000488	0.000527
513	1480	0.00178455859375	0.001753	0.001947
1025	3111	0.008588492187500003	0.008376	0.00927
2049	6661	0.035887398437499995	0.035573	0.038006
4097	13215	0.1401775	0.138733	0.151292
8193	26395	0.603017875	0.595664	0.624847
16385	53989	2.449455	2.43628	2.46198
24577	82145	5.420920000000001	5.41455	5.42729
